fieldname,datasourcemv,lknamemv,newfieldname,taxonomic
zdub,newman,fish,Heteranthera dubia,Y
zdub,newman,julia,Heteranthera dubia,Y
zdub,newman,lotus,Heteranthera dubia,Y
zdub,newman,lowermission,Heteranthera dubia,Y
zdub,newman,lucy,Heteranthera dubia,Y
zdub,newman,mitchell,Heteranthera dubia,Y
zdub,newman,otter,Heteranthera dubia,Y
zdub,newman,rebecca,Heteranthera dubia,Y
zdub,newman,rush,Heteranthera dubia,Y
zdub,newman,silver,Heteranthera dubia,Y
zdub,newman,smithstonka,Heteranthera dubia,Y
zdub,newman,staring,Heteranthera dubia,Y
zdub,newman,susan,Heteranthera dubia,Y
zdub,newman,vails,Heteranthera dubia,Y
zdub,newman,vetstonka,Heteranthera dubia,Y
zdub,newman,weaver,Heteranthera dubia,Y
ZANPAL,alexadd,alexadd,Zannichellia palustris,Y
zanpal,April Londo,rebecca,Zannichellia palustris,Y
zannichellia_palustris_submersed,Allison Gamble,fox,Zannichellia palustris,Y
zannichellia_palustris_submersed,Allison Gamble,sakatah bay,Zannichellia palustris,Y
zannichellia_palustris_extra_sp__submersed,Allison Gamble,gorman,Zannichellia palustris,Y
"zannichellia_palustris,horned_pondweed",April Londo,jane,Zannichellia palustris,Y
"zannichellia_palustris,horned_pondweed",James Johnson,weaver,Zannichellia palustris,Y
"zannichellia_palustris,horned_pondweed",Matt Berg,orono,Zannichellia palustris,Y
"zannichellia_palustris,horned_pondweed",Meg Rattei,eagle point,Zannichellia palustris,Y
"zannichellia_palustris,horned_pondweed",Meg Rattei,edith,Zannichellia palustris,Y
"zannichellia_palustris,horned_pondweed",Meg Rattei,jane,Zannichellia palustris,Y
"zannichellia_palustris,horned_pondweed",Meg Rattei,pomroy,Zannichellia palustris,Y
"zannichellia_palustris,horned_pondweed",Meg Rattei,sweeney,Zannichellia palustris,Y
"zannichellia_palustris,_horned_pondweed",Meg Rattei,eagle point,Zannichellia palustris,Y
"zannichellia_palustris,_horned_pondweed",sblood,kohlman,Zannichellia palustris,Y
zannichellia_palustris,Allison Gamble,benton,Zannichellia palustris,Y
zannichellia_palustris,Allison Gamble,tetonka,Zannichellia palustris,Y
zannichellia_palustris,Allison Gamble_19,benton,Zannichellia palustris,Y
zannichellia_palustris,Allison Gamble_19,french,Zannichellia palustris,Y
zannichellia_palustris,April Londo,demontreville,Zannichellia palustris,Y
zannichellia_palustris,April Londo,forest,Zannichellia palustris,Y
zannichellia_palustris,April Londo,o'dowd,Zannichellia palustris,Y
zannichellia_palustris,April Londo,schmidt,Zannichellia palustris,Y
zannichellia_palustris,brasch,cleary,Zannichellia palustris,Y
zannichellia_palustris,brasch,sarahw,Zannichellia palustris,Y
zannichellia_palustns,Allison Gamble,sakatah,Zannichellia palustris,Y
zannicheliia_palustris_extra_sp__submersed,Allison Gamble,west jefferson,Zannichellia palustris,Y
zannichelia_palustris,April Londo,cedar,Zannichellia palustris,Y
zanichellia_palustris,sblood,kohlman,Zannichellia palustris,Y
z_palustris,Allison Gamble,benton,Zannichellia palustris,Y
z_pallustris,Allison Gamble,benton,Zannichellia palustris,Y
z_dubia,Allison Gamble,benton,Heteranthera dubia,Y
z_dubia,James Johnson,southeast anderson,Heteranthera dubia,Y
ywl,April Londo,coon,Ambiguous N. advena or N. variegata please clarify,Y
ywl,sblood,kohlman,Ambiguous N. advena or N. variegata please clarify,Y
ywaterlill,Andrea Prichard,beaver,Ambiguous N. advena or N. variegata please clarify,Y
ywaterlill,Andrea Prichard,crosby,Ambiguous N. advena or N. variegata please clarify,Y
ywaterlill,Andrea Prichard,little crosby,Ambiguous N. advena or N. variegata please clarify,Y
ywaterlill,Andrea Prichard,mccarrons,Ambiguous N. advena or N. variegata please clarify,Y
ywaterlill,Andrea Prichard,owasso,Ambiguous N. advena or N. variegata please clarify,Y
yellow_wl_nuphar_advena,Allison Gamble,lily,Nuphar advena,Y
yellow_wl,Allison Gamble,dudley,Ambiguous N. advena or N. variegata please clarify,Y
yellow_wl,Allison Gamble,fish,Ambiguous N. advena or N. variegata please clarify,Y
yellow_wl,Allison Gamble,frances,Ambiguous N. advena or N. variegata please clarify,Y
yellow_wl,Allison Gamble,kelly,Ambiguous N. advena or N. variegata please clarify,Y
yellow_wl,Allison Gamble,mazaska,Ambiguous N. advena or N. variegata please clarify,Y
yellow_wl,Allison Gamble,roberds,Ambiguous N. advena or N. variegata please clarify,Y
yellow_wl,Allison Gamble,roemhildt,Ambiguous N. advena or N. variegata please clarify,Y
yellow_wl,Allison Gamble,shields,Ambiguous N. advena or N. variegata please clarify,Y
yellow_wl,Allison Gamble,st.olaf,Ambiguous N. advena or N. variegata please clarify,Y
yellow_wl,fieldseth,minnewashta,Ambiguous N. advena or N. variegata please clarify,Y
yellow_wl,Jill Sweet,east auburn,Ambiguous N. advena or N. variegata please clarify,Y
yellow_wl,Jill Sweet,minnewashta,Ambiguous N. advena or N. variegata please clarify,Y
yellow_wl,Jill Sweet,piersons,Ambiguous N. advena or N. variegata please clarify,Y
yellow_wl,Jill Sweet,saunders-east,Ambiguous N. advena or N. variegata please clarify,Y
yellow_wl,Jill Sweet,schutz,Ambiguous N. advena or N. variegata please clarify,Y
yellow_wl,Jill Sweet,st joe,Ambiguous N. advena or N. variegata please clarify,Y
yellow_wl,Jill Sweet,stone,Ambiguous N. advena or N. variegata please clarify,Y
yellow_wl,Jill Sweet,wasserman,Ambiguous N. advena or N. variegata please clarify,Y
yellow_wl,Jill Sweet,west auburn,Ambiguous N. advena or N. variegata please clarify,Y
yellow_waterlily,Allison Gamble,madison,Ambiguous N. advena or N. variegata please clarify,Y
yellow_waterlily,Allison Gamble,roemhildt,Ambiguous N. advena or N. variegata please clarify,Y
yellow_waterlily,fieldseth,halsted,Ambiguous N. advena or N. variegata please clarify,Y
yellow_waterlily,Jill Sweet,east auburn,Ambiguous N. advena or N. variegata please clarify,Y
yellow_waterlily,Jill Sweet,halsteads,Ambiguous N. advena or N. variegata please clarify,Y
yellow_waterlily,Jill Sweet,piersons,Ambiguous N. advena or N. variegata please clarify,Y
yellow_waterlily,Jill Sweet,wasserman,Ambiguous N. advena or N. variegata please clarify,Y
yellow_waterlily,Jill Sweet,west auburn,Ambiguous N. advena or N. variegata please clarify,Y
yellow_water_lily,Andrea Prichard,little crosby,Ambiguous N. advena or N. variegata please clarify,Y
yellow_water_lily,Andrea Prichard,mccarrons,Ambiguous N. advena or N. variegata please clarify,Y
yellow_water_lily,Andrea Prichard,wilkinson,Ambiguous N. advena or N. variegata please clarify,Y
yellow_water_lily,Jill Sweet,church,Ambiguous N. advena or N. variegata please clarify,Y
yellow_water_lily,Jill Sweet,keslers pond,Ambiguous N. advena or N. variegata please clarify,Y
yellow_water_lily,Jill Sweet,pamela,Ambiguous N. advena or N. variegata please clarify,Y
yellow_water_lily,Jill Sweet,schutz,Ambiguous N. advena or N. variegata please clarify,Y
yellow_wat,Rob Brown,cedar,Ambiguous N. advena or N. variegata please clarify,Y
yellow_wat,Rob Brown,powderhorn,Ambiguous N. advena or N. variegata please clarify,Y
yellow_lily,April Londo,rebecca,Ambiguous N. advena or N. variegata please clarify,Y
yellow_lilly,April Londo,rebecca,Ambiguous N. advena or N. variegata please clarify,Y
ycoord,Allison Gamble,benton,y,N
ycoord,Andrea Prichard,beaver,y,N
ycoord,Andrea Prichard,crosby,y,N
ycoord,Andrea Prichard,goose,y,N
ycoord,Andrea Prichard,island,y,N
ycoord,Andrea Prichard,loeb,y,N
ycoord,Andrea Prichard,mccarrons,y,N
ycoord,Andrea Prichard,owasso,y,N
ycoord,Andrea Prichard,turtle,y,N
ycoord,Mark Ranweiler,blueberry,y,N
y_utm,dustin,artichoke,y,N
y_proj,alexadd,alexadd,y,N
y_coord,Andrea Prichard,black,y,N
y,Andrea Prichard,charley,y,N
y,Andrea Prichard,como,y,N
y,Andrea Prichard,crosby,y,N
y,Andrea Prichard,little crosby,y,N
y,Andrea Prichard,mccarrons,y,N
y,Andrea Prichard,wilkinson,y,N
y,Mark Ranweiler,barrett,y,N
y,Mark Ranweiler,geneva,y,N
y,Mark Ranweiler,irene,y,N
xsp5,April Londo,ham,unk_sp,Y
xsp5,April Londo,josephine,unk_sp,Y
xsp5,April Londo,mcmahon,unk_sp,Y
xsp5,April Londo,silver,unk_sp,Y
xsp4,April Londo,ham,unk_sp,Y
xsp4,April Londo,josephine,unk_sp,Y
xsp4,April Londo,mcmahon,unk_sp,Y
xsp4,April Londo,silver,unk_sp,Y
xsp3,April Londo,cedar,unk_sp,Y
xsp3,April Londo,ham,unk_sp,Y
xsp3,April Londo,josephine,unk_sp,Y
xsp3,April Londo,mcmahon,unk_sp,Y
xsp3,April Londo,silver,unk_sp,Y
xsp2,April Londo,cedar,unk_sp,Y
xsp2,April Londo,ham,unk_sp,Y
xsp2,April Londo,josephine,unk_sp,Y
xsp2,April Londo,mcmahon,unk_sp,Y
xsp2,April Londo,silver,unk_sp,Y
xsp1,April Londo,cedar,unk_sp,Y
xsp1,April Londo,ham,unk_sp,Y
xsp1,April Londo,josephine,unk_sp,Y
xsp1,April Londo,mcmahon,unk_sp,Y
xsp1,April Londo,silver,unk_sp,Y
xcoord,Allison Gamble,benton,x,N
xcoord,Andrea Prichard,beaver,x,N
xcoord,Andrea Prichard,crosby,x,N
xcoord,Andrea Prichard,goose,x,N
xcoord,Andrea Prichard,island,x,N
xcoord,Andrea Prichard,loeb,x,N
xcoord,Andrea Prichard,mccarrons,x,N
xcoord,Andrea Prichard,owasso,x,N
xcoord,Andrea Prichard,turtle,x,N
xcoord,Mark Ranweiler,blueberry,x,N
x_utm,dustin,artichoke,x,N
x_proj,alexadd,alexadd,x,N
x_coord,Andrea Prichard,black,x,N
wwlily_species,Allison Gamble,madison,Nymphaea sp,Y
wwl,April Londo,coon,Nymphaea odorata,Y
wwaterlily,sblood,kohlman,Nymphaea odorata,Y
wwaterlilly,Andrea Prichard,beaver,Nymphaea odorata,Y
wwaterlill,Andrea Prichard,beaver,Nymphaea odorata,Y
wwaterlill,Andrea Prichard,crosby,Nymphaea odorata,Y
wwaterlill,Andrea Prichard,little crosby,Nymphaea odorata,Y
wwaterlill,Andrea Prichard,mccarrons,Nymphaea odorata,Y
wwaterlill,Andrea Prichard,owasso,Nymphaea odorata,Y
wwaterlill,Andrea Prichard,turtle,Nymphaea odorata,Y
wwaterlill,Britta Belden,upper crosby,Nymphaea odorata,Y
wwaterlill,crwd,bigcrosby,Nymphaea odorata,Y
wwater_lill,Britta Belden,mccarron,Nymphaea odorata,Y
wwater_lill,crwd,mccarrons,Nymphaea odorata,Y
ww_crowfoot,Allison Gamble,frances,Ranunculus aquatilis,Y
wtrdptft,Andrea Prichard,goose,depth_ft,N
wtr_strgs,sblood,kohlman,Heteranthera dubia,Y
wter_starg,sblood,kohlman,Heteranthera dubia,Y
wspw,Andrea Prichard,turtle,unk_sp,Y
wsp,Mark Ranweiler,blueberry,unk_sp,Y
wsp,Mark Ranweiler,irene,unk_sp,Y
ws,dustin,cedar,Wolffia sp,Y
ws,dustin,peltier,Wolffia sp,Y
ws,dustin,southcenter,Wolffia sp,Y
Wollfia columbiana,alexadd,alexadd,Wolffia columbiana,Y
wolfia_spp,Allison Gamble,shields,Wolffia sp,Y
