fieldname,datasourcemv,lknamemv,newfieldname,taxonomic
val,Allison Gamble,st.olaf,Vallisneria americana,Y
val,Allison Gamble,tetonka,Vallisneria americana,Y
va_vallisneria_americana,Allison Gamble,bass,Vallisneria americana,Y
va_vallisneria_americana,Allison Gamble,german,Vallisneria americana,Y
va_vallisneria_americana,Allison Gamble,reeds,Vallisneria americana,Y
va_vallisneria_americana,Allison Gamble,shields,Vallisneria americana,Y
va_vallisneria_americana,Allison Gamble,tetonka,Vallisneria americana,Y
va_vallisneria_americana,Allison Gamble,washington,Vallisneria americana,Y
va_vallisneria_americana,Allison Gamble,west jefferson,Vallisneria americana,Y
va_vallisneria_americana,Allison Gamble_19,cedar,Vallisneria americana,Y
va_vallisneria_americana,Allison Gamble_19,duck,Vallisneria americana,Y
va_vallisneria_americana,Allison Gamble_19,frances,Vallisneria americana,Y
va_vallisneria_americana,Allison Gamble_19,french,Vallisneria americana,Y
va_vallisneria_americana,Allison Gamble_19,kelly,Vallisneria americana,Y
va_vallisneria_americana,Allison Gamble_19,reeds,Vallisneria americana,Y
va_vallisneria_americana,Allison Gamble_19,washington,Vallisneria americana,Y
va_vallisneria_americana,April Londo,big marine,Vallisneria americana,Y
va_vallisneria_americana,Mark Ranweiler,oscar,Vallisneria americana,Y
va_vallisneria_americana,Mark Ranweiler,toad,Vallisneria americana,Y
va_vallisneria_americana,Mark Ranweiler,upper cormorant,Vallisneria americana,Y
va,April Londo,big marine,Vallisneria americana,Y
va,dustin,belle,Vallisneria americana,Y
va,dustin,carlos,Vallisneria americana,Y
va,dustin,cedar,Vallisneria americana,Y
va,dustin,hill,Vallisneria americana,Y
va,dustin,madison,Vallisneria americana,Y
va,dustin,pearl,Vallisneria americana,Y
va,dustin,portage,Vallisneria americana,Y
va,dustin,redsand,Vallisneria americana,Y
va,dustin,southcenter,Vallisneria americana,Y
va,dustin,stjames,Vallisneria americana,Y
va,dustin,stolaf,Vallisneria americana,Y
va,Mark Ranweiler,barrett,Vallisneria americana,Y
va,Mark Ranweiler,blueberry,Vallisneria americana,Y
va,Mark Ranweiler,irene,Vallisneria americana,Y
v_americana,James Johnson,southeast anderson,Vallisneria americana,Y
uvul,James Johnson,ann,Utricularia vulgaris,Y
uvul,James Johnson,beebe,Utricularia vulgaris,Y
uvul,James Johnson,brownie,Utricularia vulgaris,Y
uvul,James Johnson,carsons bay,Utricularia vulgaris,Y
uvul,James Johnson,cedar,Utricularia vulgaris,Y
uvul,James Johnson,christmas,Utricularia vulgaris,Y
uvul,James Johnson,coal,Utricularia vulgaris,Y
uvul,James Johnson,crooked,Utricularia vulgaris,Y
uvul,James Johnson,eagle,Utricularia vulgaris,Y
uvul,James Johnson,east phelps bay,Utricularia vulgaris,Y
uvul,James Johnson,eastbattle,Utricularia vulgaris,Y
uvul,James Johnson,gideons bay,Utricularia vulgaris,Y
uvul,James Johnson,grays,Utricularia vulgaris,Y
uvul,James Johnson,john,Utricularia vulgaris,Y
uvul,James Johnson,la,Utricularia vulgaris,Y
uvul,James Johnson,long,Utricularia vulgaris,Y
uvul,James Johnson,lowermission,Utricularia vulgaris,Y
uvul,James Johnson,maple,Utricularia vulgaris,Y
uvul,James Johnson,maxwell,Utricularia vulgaris,Y
uvul,James Johnson,north arm,Utricularia vulgaris,Y
uvul,James Johnson,platte,Utricularia vulgaris,Y
uvul,James Johnson,pulaski,Utricularia vulgaris,Y
uvul,James Johnson,red rock,Utricularia vulgaris,Y
uvul,James Johnson,riley,Utricularia vulgaris,Y
uvul,James Johnson,silver,Utricularia vulgaris,Y
uvul,James Johnson,southeast anderson,Utricularia vulgaris,Y
uvul,James Johnson,st albans,Utricularia vulgaris,Y
uvul,James Johnson,sullivan,Utricularia vulgaris,Y
uvul,James Johnson,susan,Utricularia vulgaris,Y
uvul,James Johnson,wilmes,Utricularia vulgaris,Y
uvul,Jill Sweet,christmas,Utricularia vulgaris,Y
uvul,Jill Sweet,lydiard,Utricularia vulgaris,Y
uvul,Jill Sweet,phelps bay,Utricularia vulgaris,Y
uvul,Jill Sweet,zumbra,Utricularia vulgaris,Y
uvul,Jill Sweet_19,sunny,Utricularia vulgaris,Y
uvul,Jill Sweet_19,zumbra,Utricularia vulgaris,Y
uvul,newman,ann,Utricularia vulgaris,Y
uvul,newman,blueberry,Utricularia vulgaris,Y
uvul,newman,coal,Utricularia vulgaris,Y
uvul,newman,lowermission,Utricularia vulgaris,Y
uvul,newman,lucy,Utricularia vulgaris,Y
uvul,newman,mitchell,Utricularia vulgaris,Y
uvul,newman,otter,Utricularia vulgaris,Y
uvul,newman,smithstonka,Utricularia vulgaris,Y
uvul,newman,staring,Utricularia vulgaris,Y
uvul,newman,vetstonka,Utricularia vulgaris,Y
uv_utricularia_vulgaris,Mark Ranweiler,oscar,Utricularia vulgaris,Y
uv_utricularia_vulgaris,Mark Ranweiler,toad,Utricularia vulgaris,Y
uv_utricularia_vulgaris,Mark Ranweiler,upper cormorant,Utricularia vulgaris,Y
uv,April Londo,coon,Utricularia vulgaris,Y
uv,dustin,carlos,Utricularia vulgaris,Y
uv,dustin,cedar,Utricularia vulgaris,Y
uv,dustin,hill,Utricularia vulgaris,Y
uv,dustin,pearl,Utricularia vulgaris,Y
uv,dustin,peltier,Utricularia vulgaris,Y
uv,dustin,portage,Utricularia vulgaris,Y
uv,dustin,redsand,Utricularia vulgaris,Y
uv,Mark Ranweiler,barrett,Utricularia vulgaris,Y
uv,Mark Ranweiler,blueberry,Utricularia vulgaris,Y
uv,Mark Ranweiler,irene,Utricularia vulgaris,Y
UTRVUL,alexadd,alexadd,Utricularia vulgaris,Y
utrvul,Jill Sweet,zumbra,Utricularia vulgaris,Y
UTRRES,alexadd,alexadd,Utricularia resupinata,Y
UTRPUR,alexadd,alexadd,Utricularia purpurea,Y
UTRMIN,alexadd,alexadd,Utricularia minor,Y
UTRMAC,alexadd,alexadd,Utricularia macrorhiza,Y
utrivularia_macrorhiza,April Londo,coon west,Utricularia vulgaris,Y
UTRINT,alexadd,alexadd,Utricularia intermedia,Y
"utricularia_vulgaris,common_bladderwort",Meg Rattei,eagle point,Utricularia vulgaris,Y
"utricularia_vulgaris,common_bladderwort",Meg Rattei,elmo,Utricularia vulgaris,Y
"utricularia_vulgaris,common_bladderwort",Meg Rattei,mcdonald,Utricularia vulgaris,Y
"utricularia_vulgaris,common_bladderwort",Meg Rattei,pomroy,Utricularia vulgaris,Y
"utricularia_vulgaris,common_bladderwort",Meg Rattei,sunfish,Utricularia vulgaris,Y
"utricularia_vulgaris,common_bladderwort",Meg Rattei,sweeney,Utricularia vulgaris,Y
"utricularia_vulgaris,common_bladderwort",Meg Rattei,twin,Utricularia vulgaris,Y
"utricularia_vulgaris,common_bladderwort",Meg Rattei_19,elmo,Utricularia vulgaris,Y
"utricularia_vulgaris,common",James Johnson,weaver,Utricularia vulgaris,Y
"utricularia_vulgaris,_common_bladderwort",Meg Rattei,eagle point,Utricularia vulgaris,Y
"utricularia_vulgaris,_common_bladderwort",Meg Rattei,elmo,Utricularia vulgaris,Y
"utricularia_vulgaris,_common_bladderwort",Meg Rattei,mcdonald,Utricularia vulgaris,Y
utricularia_vulgaris,April Londo,coon,Utricularia vulgaris,Y
utricularia_vulgaris,Meg Rattei_19,sweeney,Utricularia vulgaris,Y
utricularia_vulgaris,Meg Rattei_19,twin,Utricularia vulgaris,Y
utricularia_spp,Allison Gamble_19,kelly,Utricularia sp,Y
"utricularia_resupinata,small_purple",James Johnson,weaver,Utricularia resupinata,Y
"utricularia_purpurea,large_purple_bladderwort",James Johnson,weaver,Utricularia purpurea,Y
"utricularia_minor,small_bladderwort",James Johnson,weaver,Utricularia minor,Y
"utricularia_minor,small_bladderwort",Meg Rattei,pomroy,Utricularia minor,Y
"utricularia_minor,small_bladderwort",Meg Rattei,sunfish,Utricularia minor,Y
"utricularia_minor,_small_bladderwort",Meg Rattei,mcdonald,Utricularia minor,Y
utricularia_macrorhiza,April Londo,bald eagle,Utricularia vulgaris,Y
utricularia_macrorhiza,April Londo,cedar,Utricularia vulgaris,Y
utricularia_macrorhiza,April Londo,coon west,Utricularia vulgaris,Y
utricularia_macrorhiza,April Londo,ham,Utricularia vulgaris,Y
utricularia_macrorhiza,April Londo,josephine,Utricularia vulgaris,Y
utricularia_macrorhiza,April Londo,mcmahon,Utricularia vulgaris,Y
utricularia_macrorhiza,April Londo,minnetonka north arm,Utricularia vulgaris,Y
utricularia_macrorhiza,April Londo,pierson,Utricularia vulgaris,Y
utricularia_macrorhiza,April Londo,silver,Utricularia vulgaris,Y
utricularia_macrorhiza,April Londo,turtle,Utricularia vulgaris,Y
"utricularia_intermedia,flat_leaf_bladderwort",James Johnson,weaver,Utricularia intermedia,Y
"utricularia_gibba,creeping_bladderwort",James Johnson,weaver,Utricularia gibba,Y
"utricularia_gibba,creeping_bladderwort",Meg Rattei,pomroy,Utricularia gibba,Y
utricularia_gibba,April Londo,coon west,Utricularia gibba,Y
"utricularia_geminiscapa,twin_stemmed_bladderwort",James Johnson,weaver,Utricularia geminiscapa,Y
Utricularia intermedia,alexadd,alexadd,Ultricularia intermedia,Y
Utricularia,alexadd,alexadd,Utricularia sp,Y
Utricularia,alexadd,alexadd,Ultricularia sp,Y
UTRGIB,alexadd,alexadd,Utricularia gibba,Y
UTRGEM,alexadd,alexadd,Utricularia geminiscapa,Y
UTRCOR,alexadd,alexadd,Utricularia cornuta,Y
Utr_mac,alexadd,alexadd,Utricularia macrorhiza,Y
ut_utricularia_macrorhiza,Allison Gamble,reeds,Utricularia vulgaris,Y
ut_utricularia_macrorhiza,Allison Gamble,sprague,Utricularia vulgaris,Y
ut_utricularia_macrorhiza,Allison Gamble_19,dudley,Utricularia vulgaris,Y
ut_utricularia_macrorhiza,Allison Gamble_19,frances,Utricularia vulgaris,Y
ut_utricularia_macrorhiza,Allison Gamble_19,kelly,Utricularia vulgaris,Y
ut_utricularia_macrorhiza,Allison Gamble_19,reeds,Utricularia vulgaris,Y
ut,April Londo,big marine,Ambiguous please clarify,N
ures,James Johnson,beebe,Utricularia resupinata,Y
ures,James Johnson,riley,Utricularia resupinata,Y
ures,James Johnson,susan,Utricularia resupinata,Y
ures,James Johnson,wilmes,Utricularia resupinata,Y
upur,James Johnson,beebe,Utricularia purpurea,Y
upur,James Johnson,riley,Utricularia purpurea,Y
upur,James Johnson,susan,Utricularia purpurea,Y
upur,James Johnson,wilmes,Utricularia purpurea,Y
unknown_emergent,newman,crookneck,unk_sp,Y
unknown_emergent,newman,lowermission,unk_sp,Y
UNKNOWN FONTINALIS,alexadd,alexadd,Fontinalis sp,Y
unknown,Allison Gamble,reeds,unk_sp,Y
unique_id_*,Andrea Prichard,black,STA_NBR,N
unidentified_pondweed,sblood,kohlman,Potamogeton sp,Y
unconfirmed_myriophyllum_spicatum_&_possible_hybrids,Jill Sweet,st. albans,Myriophyllum spicatum,Y
umin,April Londo,big marine,Utricularia minor,Y
umin,James Johnson,beebe,Utricularia minor,Y
umin,James Johnson,brownie,Utricularia minor,Y
umin,James Johnson,cedar,Utricularia minor,Y
umin,James Johnson,crooked,Utricularia minor,Y
umin,James Johnson,gideons bay,Utricularia minor,Y
umin,James Johnson,north arm,Utricularia minor,Y
umin,James Johnson,riley,Utricularia minor,Y
umin,James Johnson,st albans,Utricularia minor,Y
umin,James Johnson,susan,Utricularia minor,Y
umin,James Johnson,wilmes,Utricularia minor,Y
umin,Jill Sweet,christmas,Utricularia minor,Y
umin,Jill Sweet,phelps bay,Utricularia minor,Y
umin,newman,ann,Utricularia minor,Y
umin,newman,otter,Utricularia minor,Y
umac,April Londo,cedar,Utricularia vulgaris,Y
umac,April Londo,ham,Utricularia vulgaris,Y
umac,April Londo,josephine,Utricularia vulgaris,Y
umac,April Londo,mcmahon,Utricularia vulgaris,Y
umac,April Londo,silver,Utricularia vulgaris,Y
umac,Cole Loewen,clearwater,Utricularia vulgaris,Y
umac,Eric Fieldseth,mitchell,Utricularia vulgaris,Y
umac,Jill Sweet,mother,Utricularia vulgaris,Y
umac,Jill Sweet_19,marsh,Utricularia vulgaris,Y
umac,Jill Sweet_19,steiger,Utricularia vulgaris,Y
uknown_grass,sblood,kohlman,Gramineae/Poaceae Family,Y
uint,James Johnson,beebe,Utricularia intermedia,Y
uint,James Johnson,riley,Utricularia intermedia,Y
uint,James Johnson,susan,Utricularia intermedia,Y
uint,James Johnson,wilmes,Utricularia intermedia,Y
ugib,James Johnson,beebe,Utricularia gibba,Y
ugib,James Johnson,riley,Utricularia gibba,Y
ugib,James Johnson,susan,Utricularia gibba,Y
ugib,James Johnson,weaver,Utricularia gibba,Y
ugib,James Johnson,wilmes,Utricularia gibba,Y
ugem,James Johnson,beebe,Utricularia geminiscapa,Y
ugem,James Johnson,john,Utricularia geminiscapa,Y
ugem,James Johnson,riley,Utricularia geminiscapa,Y
ugem,James Johnson,susan,Utricularia geminiscapa,Y
ugem,James Johnson,weaver,Utricularia geminiscapa,Y
ugem,James Johnson,wilmes,Utricularia geminiscapa,Y
typspp_r,Jill Sweet,steiger,Typha sp,Y
TYPSPP,alexadd,alexadd,Typha sp,Y
typhax,James Johnson,beebe,Typha x glauca,Y
typhax,James Johnson,wilmes,Typha x glauca,Y
typha_spp__not_submerged,April Londo,cedar island,Typha sp,Y
typha_spp,April Londo,bald eagle,Typha sp,Y
typha_spp,April Londo,ham,Typha sp,Y
typha_spp,James Johnson,southeast anderson,Typha sp,Y
typha_spp,James Johnson,weaver,Typha sp,Y
typha_spp,Meg Rattei,long,Typha sp,Y
typha_sp_not_submerged,April Londo,silver,Typha sp,Y
typha_sp,April Londo,bald eagle,Typha sp,Y
typha_sp,lund,silver,Typha sp,Y
"typha_latifolia,broad_leaved_cattail",Meg Rattei,horseshoe,Typha latifolia,Y
"typha_glauca,hybrid_cattail",Meg Rattei,crane,Typha x glauca,Y
"typha_glauca,hybrid_cattail",Meg Rattei,demontreville,Typha x glauca,Y
"typha_glauca,hybrid_cattail",Meg Rattei,edith,Typha x glauca,Y
"typha_glauca,hybrid_cattail",Meg Rattei,elmo,Typha x glauca,Y
"typha_glauca,hybrid_cattail",Meg Rattei,northwood,Typha x glauca,Y
"typha_glauca,hybrid_cattail",Meg Rattei_19,demontreville,Typha x glauca,Y
"typha_glauca,hybrid_cattail",Meg Rattei_19,elmo,Typha x glauca,Y
"typha_glauca,_hybrid_cattail",Meg Rattei,demontreville,Typha x glauca,Y
"typha_glauca,_hybrid_cattail",Meg Rattei,long,Typha x glauca,Y
typha_glauca,alexadd,alexadd,Typha glauca,Y
typha_angustifolia_narrow_leaved_cattail,April Londo,elmo,Typha angustifolia,Y
typha_angustifolia_narrow_leaved_cattail,Meg Rattei_19,westwood,Typha angustifolia,Y
"typha_angustifolia,narrow_leaved_cattail",James Johnson,weaver,Typha angustifolia,Y
"typha_angustifolia,narrow_leaved_cattail",Matt Berg,orono,Typha angustifolia,Y
"typha_angustifolia,narrow_leaved_cattail",Meg Rattei,eagle point,Typha angustifolia,Y
"typha_angustifolia,narrow_leaved_cattail",Meg Rattei,elmo,Typha angustifolia,Y
"typha_angustifolia,narrow_leaved_cattail",Meg Rattei,horseshoe,Typha angustifolia,Y
"typha_angustifolia,narrow_leaved_cattail",Meg Rattei,mcdonald,Typha angustifolia,Y
"typha_angustifolia,narrow_leaved_cattail",Meg Rattei,pomroy,Typha angustifolia,Y
"typha_angustifolia,narrow_leaved_cattail",Meg Rattei,sunfish,Typha angustifolia,Y
"typha_angustifolia,narrow_leaved_cattail",Meg Rattei,sweeney,Typha angustifolia,Y
"typha_angustifolia,narrow_leaved_cattail",Meg Rattei,twin,Typha angustifolia,Y
"typha_angustifolia,narrow_leaved_cattail",Meg Rattei,westwood,Typha angustifolia,Y
"typha_angustifolia,narrow_leaved_cattail",Meg Rattei_19,elmo,Typha angustifolia,Y
"typha_angustifolia,narrow_leaved_cattail",Meg Rattei_19,silver,Typha angustifolia,Y
"typha_angustifolia,narrow_leaved_cattail",Meg Rattei_19,westwood,Typha angustifolia,Y
"typha_angustifolia,_narrow_leaved_cattail",Meg Rattei,eagle point,Typha angustifolia,Y
"typha_angustifolia,_narrow_leaved_cattail",Meg Rattei,elmo,Typha angustifolia,Y
"typha_angustifolia,_narrow_leaved_cattail",Meg Rattei,horseshoe,Typha angustifolia,Y
"typha_angustifolia,_narrow_leaved_cattail",Meg Rattei,mcdonald,Typha angustifolia,Y
"typha_angustifolia,_narrow_leaved_cattail",Meg Rattei,sunfish,Typha angustifolia,Y
Typha spp.,alexadd,alexadd,Typha sp,Y
typha,Allison Gamble,frances,Typha sp,Y
typha,April Londo,pierson,Typha sp,Y
typha,April Londo,rebecca,Typha sp,Y
typha,Cole Loewen,clearwater,Typha sp,Y
typha,Cole Loewen,louisa,Typha sp,Y
typha,Cole Loewen,marie,Typha sp,Y
typha,Eric Fieldseth,brooks,Typha sp,Y
typha,James Johnson,ann,Typha sp,Y
typha,James Johnson,armstrong,Typha sp,Y
typha,James Johnson,bass,Typha sp,Y
typha,James Johnson,beebe,Typha sp,Y
typha,James Johnson,brownie,Typha sp,Y
typha,James Johnson,carsons bay,Typha sp,Y
typha,James Johnson,cedar,Typha sp,Y
typha,James Johnson,christmas,Typha sp,Y
typha,James Johnson,colby,Typha sp,Y
typha,James Johnson,crooked,Typha sp,Y
typha,James Johnson,duck,Typha sp,Y
typha,James Johnson,eagle,Typha sp,Y
typha,James Johnson,gideons bay,Typha sp,Y
typha,James Johnson,howard,Typha sp,Y
typha,James Johnson,idlewild,Typha sp,Y
typha,James Johnson,isles,Typha sp,Y
typha,James Johnson,john,Typha sp,Y
typha,James Johnson,la,Typha sp,Y
typha,James Johnson,long,Typha sp,Y
typha,James Johnson,lotus,Typha sp,Y
typha,James Johnson,louisa,Typha sp,Y
typha,James Johnson,maple,Typha sp,Y
typha,James Johnson,marie,Typha sp,Y
typha,James Johnson,markgrafs,Typha sp,Y
typha,James Johnson,maxwell,Typha sp,Y
typha,James Johnson,north arm,Typha sp,Y
typha,James Johnson,platte,Typha sp,Y
typha,James Johnson,powers,Typha sp,Y
typha,James Johnson,pulaski,Typha sp,Y
typha,James Johnson,ravine,Typha sp,Y
typha,James Johnson,red rock,Typha sp,Y
typha,James Johnson,rice,Typha sp,Y
typha,James Johnson,ricemarsh,Typha sp,Y
typha,James Johnson,riley,Typha sp,Y
typha,James Johnson,rush,Typha sp,Y
typha,James Johnson,silver,Typha sp,Y
typha,James Johnson,southeast anderson,Typha sp,Y
typha,James Johnson,stubbs,Typha sp,Y
typha,James Johnson,susan,Typha sp,Y
typha,James Johnson,weaver,Typha sp,Y
typha,James Johnson,wilmes,Typha sp,Y
typha,Jill Sweet,halsteads,Typha sp,Y
typha,Jill Sweet,isles,Typha sp,Y
typha,Jill Sweet,mother,Typha sp,Y
typha,Jill Sweet,phelps bay,Typha sp,Y
typha,Jill Sweet,s. lundsten,Typha sp,Y
typha,Jill Sweet,sunny,Typha sp,Y
typha,Jill Sweet,turbid,Typha sp,Y
typha,Jill Sweet_19,parley,Typha sp,Y
typha,Jill Sweet_19,steiger,Typha sp,Y
typha,Jill Sweet_19,west auburn,Typha sp,Y
typha,Mark Ranweiler,toad,Typha sp,Y
typha,Mark Ranweiler,upper cormorant,Typha sp,Y
typha,Rob Brown,brownie,Typha sp,Y
typha,Rob Brown,wirth,Typha sp,Y
typha,sblood,kohlman,Typha sp,Y
typh,James Johnson,coal,Typha sp,Y
typh,James Johnson,fish,Typha sp,Y
typh,James Johnson,lowermission,Typha sp,Y
typh,James Johnson,pike,Typha sp,Y
typh,James Johnson,rebecca,Typha sp,Y
typh,James Johnson,southeast anderson,Typha sp,Y
typh,James Johnson,vails,Typha sp,Y
typh,James Johnson,weaver,Typha sp,Y
typh,newman,ann,Typha sp,Y
typh,newman,blueberry,Typha sp,Y
typh,newman,clearm,Typha sp,Y
typh,newman,coal,Typha sp,Y
typh,newman,longi,Typha sp,Y
typh,newman,lotus,Typha sp,Y
typh,newman,lowermission,Typha sp,Y
typh,newman,lucy,Typha sp,Y
typh,newman,mitchell,Typha sp,Y
typh,newman,otter,Typha sp,Y
typh,newman,rebecca,Typha sp,Y
typh,newman,silver,Typha sp,Y
typh,newman,vails,Typha sp,Y
ts,dustin,belle,Typha sp,Y
ts,dustin,carlos,Typha sp,Y
ts,dustin,carrie,Typha sp,Y
ts,dustin,cedar,Typha sp,Y
ts,dustin,hill,Typha sp,Y
ts,dustin,madison,Typha sp,Y
ts,dustin,pearl,Typha sp,Y
ts,dustin,peltier,Typha sp,Y
ts,dustin,portage,Typha sp,Y
ts,dustin,redsand,Typha sp,Y
ts,dustin,southcenter,Typha sp,Y
ts,dustin,stjames,Typha sp,Y
ts,Mark Ranweiler,barrett,Typha sp,Y
ts,Mark Ranweiler,blueberry,Typha sp,Y
ts,Mark Ranweiler,irene,Typha sp,Y
trpha_sp_not_submerged,April Londo,silver,Typha sp,Y
triwolfia,newman,longi,Wolffia sp,Y
triadenum_fraseri,alexadd,alexadd,Triadenum fraseri,Y
total_rake_fullness_,Meg Rattei_19,westwood,whole_rake_density,N
total_rake_fullness,Matt Berg,arrowhead,whole_rake_density,N
total_rake_fullness,Matt Berg,cornelia,whole_rake_density,N
total_rake_fullness,Matt Berg,nancy,whole_rake_density,N
total_rake_fullness,Matt Berg,orono,whole_rake_density,N
total_rake_fullness,Meg Rattei,crane,whole_rake_density,N
total_rake_fullness,Meg Rattei,demontreville,whole_rake_density,N
total_rake_fullness,Meg Rattei,eagle point,whole_rake_density,N
total_rake_fullness,Meg Rattei,edith,whole_rake_density,N
total_rake_fullness,Meg Rattei,elmo,whole_rake_density,N
total_rake_fullness,Meg Rattei,horseshoe,whole_rake_density,N
total_rake_fullness,Meg Rattei,jane,whole_rake_density,N
total_rake_fullness,Meg Rattei,long,whole_rake_density,N
total_rake_fullness,Meg Rattei,mcdonald,whole_rake_density,N
total_rake_fullness,Meg Rattei,northwood,whole_rake_density,N
total_rake_fullness,Meg Rattei,olson,whole_rake_density,N
total_rake_fullness,Meg Rattei,pomroy,whole_rake_density,N
total_rake_fullness,Meg Rattei,sunfish,whole_rake_density,N
total_rake_fullness,Meg Rattei,sweeney,whole_rake_density,N
total_rake_fullness,Meg Rattei,twin,whole_rake_density,N
total_rake_fullness,Meg Rattei,westwood,whole_rake_density,N
total_rake_fullness,Meg Rattei_19,demontreville,whole_rake_density,N
total_rake_fullness,Meg Rattei_19,elmo,whole_rake_density,N
total_rake_fullness,Meg Rattei_19,jane,whole_rake_density,N
total_rake_fullness,Meg Rattei_19,katherine abbott pond,whole_rake_density,N
total_rake_fullness,Meg Rattei_19,long,whole_rake_density,N
total_rake_fullness,Meg Rattei_19,olson,whole_rake_density,N
total_rake_fullness,Meg Rattei_19,silver,whole_rake_density,N
total_rake_fullness,Meg Rattei_19,westwood,whole_rake_density,N
total_rake,alexadd,alexadd,whole_rake_density,N
"too_deep,_no_rake_hook_thrown",Allison Gamble,sakatah,not_sampled,N
too_deep,Allison Gamble,benton,not_sampled,N
too_deep,mccomas,clearw,not_sampled,N
tolly_pella,Allison Gamble,frances,Tolypella intricata,Y
tlat,James Johnson,beebe,Typha latifolia,Y
tlat,James Johnson,eastbattle,Typha latifolia,Y
tlat,James Johnson,riley,Typha latifolia,Y
tlat,James Johnson,susan,Typha latifolia,Y
tlat,James Johnson,weaver,Typha latifolia,Y
tlat,James Johnson,wilmes,Typha latifolia,Y
tl,dustin,carrie,Typha latifolia,Y
tl,dustin,redsand,Typha latifolia,Y
three,Andrea Prichard_19,whitebear,Schoenoplectus pungens,Y
"td_=_too_deep,_may_=_depth_taken_from_may_sample_date",Allison Gamble,sakatah,not_sampled,N
tang,James Johnson,beebe,Typha angustifolia,Y
tang,James Johnson,riley,Typha angustifolia,Y
tang,James Johnson,susan,Typha angustifolia,Y
tang,James Johnson,weaver,Typha angustifolia,Y
tang,James Johnson,wilmes,Typha angustifolia,Y
ta,dustin,artichoke,Typha angustifolia,Y
ta,dustin,redsand,Typha angustifolia,Y
sx,dustin,belle,Salix sp,Y
sx,dustin,peltier,Salix sp,Y
sx,dustin,portage,Salix sp,Y
Swamp Loosetrife,alexadd,alexadd,Decodon verticillatus,Y
sval,Jill Sweet,christmas,Scirpus validus,Y
sval,newman,lotus,Scirpus validus,Y
sval,newman,otter,Scirpus validus,Y
svag,James Johnson,beebe,Stuckenia vaginata,Y
svag,James Johnson,riley,Stuckenia vaginata,Y
svag,James Johnson,susan,Stuckenia vaginata,Y
svag,James Johnson,wilmes,Stuckenia vaginata,Y
sv,dustin,belle,Ambiguous please clarify,N
sv,dustin,hill,Ambiguous please clarify,N
sv,dustin,madison,Ambiguous please clarify,N
sv,dustin,peltier,Ambiguous please clarify,N
sv,dustin,portage,Ambiguous please clarify,N
sv,dustin,southcenter,Ambiguous please clarify,N
surveyor,Cole Loewen,marie,delete,N
surveyor,James Johnson,beebe,delete,N
survey_point_id,Meg Rattei_19,lost,STA_NBR,N
survey_point_id,Meg Rattei_19,sweeney,STA_NBR,N
survey_point_id,Meg Rattei_19,twin,STA_NBR,N
SURVEY_ID,Allison Gamble,amber,SURVEY_ID,N
SURVEY_ID,Allison Gamble,ballantyne,SURVEY_ID,N
SURVEY_ID,Allison Gamble,bass,SURVEY_ID,N
SURVEY_ID,Allison Gamble,beaver,SURVEY_ID,N
SURVEY_ID,Allison Gamble,benton,SURVEY_ID,N
SURVEY_ID,Allison Gamble,budd,SURVEY_ID,N
SURVEY_ID,Allison Gamble,cedar,SURVEY_ID,N
SURVEY_ID,Allison Gamble,circle,SURVEY_ID,N
SURVEY_ID,Allison Gamble,duck,SURVEY_ID,N
SURVEY_ID,Allison Gamble,dudley,SURVEY_ID,N
SURVEY_ID,Allison Gamble,east jefferson,SURVEY_ID,N
SURVEY_ID,Allison Gamble,emily,SURVEY_ID,N
SURVEY_ID,Allison Gamble,fish,SURVEY_ID,N
SURVEY_ID,Allison Gamble,fountain,SURVEY_ID,N
SURVEY_ID,Allison Gamble,fox,SURVEY_ID,N
SURVEY_ID,Allison Gamble,frances,SURVEY_ID,N
SURVEY_ID,Allison Gamble,french,SURVEY_ID,N
SURVEY_ID,Allison Gamble,george,SURVEY_ID,N
SURVEY_ID,Allison Gamble,german,SURVEY_ID,N
SURVEY_ID,Allison Gamble,gorman,SURVEY_ID,N
SURVEY_ID,Allison Gamble,hall,SURVEY_ID,N
SURVEY_ID,Allison Gamble,hendricks,SURVEY_ID,N
SURVEY_ID,Allison Gamble,kelly,SURVEY_ID,N
SURVEY_ID,Allison Gamble,lily,SURVEY_ID,N
SURVEY_ID,Allison Gamble,little spirit,SURVEY_ID,N
SURVEY_ID,Allison Gamble,loon,SURVEY_ID,N
SURVEY_ID,Allison Gamble,lura,SURVEY_ID,N
SURVEY_ID,Allison Gamble,madison,SURVEY_ID,N
SURVEY_ID,Allison Gamble,mazaska,SURVEY_ID,N
SURVEY_ID,Allison Gamble,mountain,SURVEY_ID,N
SURVEY_ID,Allison Gamble,pearl,SURVEY_ID,N
SURVEY_ID,Allison Gamble,rays,SURVEY_ID,N
SURVEY_ID,Allison Gamble,reeds,SURVEY_ID,N
SURVEY_ID,Allison Gamble,roberds,SURVEY_ID,N
SURVEY_ID,Allison Gamble,roemhildt,SURVEY_ID,N
SURVEY_ID,Allison Gamble,sakatah,SURVEY_ID,N
SURVEY_ID,Allison Gamble,sakatah bay,SURVEY_ID,N
SURVEY_ID,Allison Gamble,sarah,SURVEY_ID,N
SURVEY_ID,Allison Gamble,shields,SURVEY_ID,N
SURVEY_ID,Allison Gamble,sisseton,SURVEY_ID,N
SURVEY_ID,Allison Gamble,sleepy eye,SURVEY_ID,N
SURVEY_ID,Allison Gamble,sprague,SURVEY_ID,N
