newfieldname,CommonName
nuphar_sp,Water-lilies
nuphar_variegata,Bullhead pond-lily
nymphaea_leibergii,Small white waterlily
nymphaea_odorata,American white waterlily
nymphaea_sp,Water lilies
nymphaeaceae_taxa,Water lilies
nymphoides_peltata,Yellow floating heart
persicaria_amphibia,Water smartweed
persicaria_lapathifolia,Nodding smartweed
persicaria_sp,Knotweeds
phalaris_arundinacea,Reed canary grass
phragmites_australis,Common reed
phragmites_australis_americanus,Common reed (native)
phragmites_australis_australis,Common reed (non-native)
phragmites_sp,Common reed species
pistia_stratiotes,Water lettuce
poaceae_taxa,Grasses
pontederia_cordata,Pickerelweed
pontederia_crassipes,Water hyacinth
potamogeton_alpinus,Alpine pondweed
potamogeton_amplifolius,Large-leaved pondweed
potamogeton_bicupulatus,Snailseed pondweed
potamogeton_confervoides,Algae-like pondweed
potamogeton_crispus,Curly pondweed
potamogeton_diversifolius,Diverse-leaved pondweed
potamogeton_epihydrus,Ribbon-leaved pondweed
potamogeton_foliosus,Leafy pondweed
potamogeton_friesii,Fries' pondweed
potamogeton_gramineus,Grass-leaved pondweed
potamogeton_hillii,Hill's pondweed
potamogeton_illinoensis,Illinois pondweed
potamogeton_natans,Floating pondweed
potamogeton_nodosus,American pondweed
potamogeton_oakesianus,Oakes' pondweed
potamogeton_obtusifolius,Blunt-leaved pondweed
potamogeton_perfoliatus,Clasping-leaved pondweed
potamogeton_praelongus,White-stemmed pondweed
potamogeton_pulcher,Spotted pondweed
potamogeton_pusillus,Very small pondweed
potamogeton_richardsonii,Richardson's pondweed
potamogeton_robbinsii,Robbins' pondweed
potamogeton_spirillus,Coiled pondweed
potamogeton_sp,Pondweeds
potamogeton_strictifolius,Straight-leaved pondweed
potamogeton_vaseyi,Vasey's pondweed
potamogeton_zosteriformis,Flat-stemmed pondweed
ranunculus_aquatilis,Common water-crowfoot
ranunculus_flabellaris,Large yellow water crowfoot
ranunculus_flammula,Spearwort
ranunculus_gmelinii,Small yellow water crowfoot
ranunculus_sceleratus,Cursed crowfoot
ranunculus_sp,Buttercups
rhododendron_groenlandicum,Bog labrador tea
riccia_fluitans,Floating crystalwort
riccia_sp,Liverworts
ricciocarpos_natans,Fringed heartwort
rorippa_aquatica,Lakecress
rorippa_sylvestris,Creeping yellowcress
rumex_britannica,Greater water dock
ruppia_cirrhosa,Spiral ditchgrass
sagittaria_cristata,Crested arrowhead
sagittaria_cuneata,Arum-leaved arrowhead
sagittaria_graminea,Narrow-leaved arrowhead
sagittaria_latifolia,Broad-leaved arrowhead
sagittaria_montevidensis,Hooded arrowhead
sagittaria_rigida,Sessile-fruited arrowhead
sagittaria_sp,Arrowheads
salix_sp,Willows
salvinia_molesta,Aquarium watermoss
schoenoplectus_acutus,Hardstem bulrush
schoenoplectus_heterochaetus,Slender bulrush
schoenoplectus_pungens,Three-square bulrush
schoenoplectus_sp,Naked-stemmed bulrushes
schoenoplectus_subterminalis,Swaying bulrush
schoenoplectus_tabernaemontani,Soft stem bulrush
schoenoplectus_x_oblongus,Hybrid bulrush
scirpus_atrovirens,Dark green bulrush
scirpus_cyperinus,Woolgrass
scirpus_sp,Bulrushes
scolochloa_festucacea,Whitetop
scorpidium_scorpioides,Hooked scorpion-moss
scutellaria_lateriflora,Mad-dog skullcap
scutellaria_sp,Skullcaps
sium_suave,Water parsnip
solanum_dulcamara,Bittersweet
solidago_sp,Goldenrods
sparganium_americanum,Nuttall's bur-reed
sparganium_androcladum,Branching bur-reed
sparganium_angustifolium,Narrow-leaved bur-reed
sparganium_emersum,Narrowleaf bur-reed
sparganium_eurycarpum,Giant bur-reed
sparganium_fluctuans,Floating bur-reed
sparganium_natans,Small bur-reed
sparganium_sp,Bur-reeds
sphagnum_magellanicum,Magellanic bogmoss
sphagnum_sp,Sphagnum mosses
spirodela_polyrrhiza,Common duckweed
spirodela_sp,Duckweed species
spirogyra_sp,Water silks
stratiotes_aloides,Water aloe
stuckenia_filiformis,Thread-leaved pondweed
stuckenia_pectinata,Sago pondweed
stuckenia_sp,Stuckenia pondweeds
stuckenia_vaginata,Sheathed pondweed
thelypteris_palustris,Marsh fern
tolypella_intricata,Tassel stonewort
trapa_natans,Water chestnut
triadenum_fraseri,Marsh St. John's-wort
typha_angustifolia,Narrow-leaved cattail
typha_latifolia,Broad-leaved cattail
typha_sp,Cattails
typha_x_glauca,Hybrid cattail
ultricularia_intermedia,Flat-leaved bladderwort
utricularia_cornuta,Horned bladderwort
utricularia_geminiscapa,Hidden-fruit bladderwort
utricularia_gibba,Humped bladderwort
utricularia_intermedia,Intermediate bladderwort
utricularia_minor,Lesser bladderwort
utricularia_purpurea,Purple-flowered bladderwort
utricularia_resupinata,Lavender bladderwort
utricularia_sp,Bladderworts
utricularia_vulgaris,Greater bladderwort
vallisneria_americana,Eelgrass
vallisneria_sp,Eelgrasses
verbena_sp,Verbenas
veronica_americana,American speedwell
veronica_catenata,Water speedwell
wolffia_borealis,Spotted watermeal
wolffia_columbiana,Columbian watermeal
wolffia_sp,Watermeals
zannichellia_palustris,Horned pondweed
zizania_palustris,Northern wild rice
zizania_sp,Wild rice
