fw_id,dowlknum,pw_basin_n,pw_parent_,pw_sub_nam,sub_flag,wb_class,lake_class,acres.x,shore_mi,center_utm,center_u_1,cty_name,dnr_region,fsh_office,outside_mn,delineated,delineatio,delineat_1,delineat_2,approved_b,approval_d,approval_n,has_flag,flag_type,publish_da,lksdb_basi,has_wld_fl,wld_flag_t,unique_id,created_us,created_da,last_edite,last_edi_1,ow_use,pwi_class,map_displa,map_label,shape_Leng,shape_Area,INSIDE_X,INSIDE_Y,in_lakefin,dow_main,order_ID,major,major_name,acres.y,sq_miles,prod_year,source,HUC_8,Shape_Leng,Shape_Area,DOW,LAKE_NAME,nyears,nsurveys,surveylist,datasource,ntaxa,taxalist,surveyorlist
15741,07011000,Porter,Porter,,X,Lake or Pond,0,25.43541944,0.8362035,398615.469045,4867338.76405,Blue Earth,4,,N,,,DNR 24k POLYS,,,,,,,2022-03-31,3866,,,158576,,,DNRHYDRO,2022-03-25,Y,W,Y,Porter,1345.74177454,102933.490497,398615.469045,4867338.76405,Y,7011000,1840,30,Blue Earth River,777240,1214,2009,DNR Catchment Dataset,07020009,561690.946371,3145389575.89,7011000,porter,1,1,2009-06-25,DNR Shallow Lakes,9,"Potamogeton (narrow), Stuckenia pectinata, Ceratophyllum demersum, Sagittaria, Schoenoplectus pungens, Schoenoplectus, Bolboschoenus fluviatilis, Typha angustifolia, Potamogeton zosteriformis",NA
3416,07012600,Strom,Strom,,X,Lake or Pond,0,123.81838589,3.1772047,391203.787464,4888741.64332,Blue Earth,4,Waterville,N,FSH,2007-05-22,2004 FSA,Re-delineation by DNR Fisheries staff,,,,Y,SVY,2022-03-31,3882,,,18471,,,DNRHYDRO,2022-03-25,Y,P,Y,Strom,5113.22554968,501075.230133,391203.787464,4888741.64332,Y,7012600,1778,28,Minnesota River - Mankato,861882,1347,2009,DNR Catchment Dataset,07020007,737594.929956,3487927145.5,7012600,strom,1,1,2008-08-14,DNR Shallow Lakes,14,"Ceratophyllum demersum, Chara, Myriophyllum sibiricum, Najas flexilis, Nymphaea odorata, Potamogeton zosteriformis, Stuckenia pectinata, Potamogeton richardsonii, Typha angustifolia, Vallisneria americana, Heteranthera dubia, Schoenoplectus acutus, Utricularia vulgaris, Nuphar variegata",NA
3415,08001000,Omsrud,Omsrud,,X,Lake or Pond,0,247.58014708,4.30980817,376107.572749,4888770.64171,Brown,4,Hutchinson,N,FSH,2007-05-22,2004 FSA,Re-delineation by DNR Fisheries staff,,,,Y,"SVY, WRP",2022-03-31,2769,,,9668,,,DNRHYDRO,2022-03-25,Y,P,Y,Omsrud,6935.97778991,1001921.30826,376107.572749,4888770.64171,Y,8001000,1861,28,Minnesota River - Mankato,861882,1347,2009,DNR Catchment Dataset,07020007,737594.929956,3487927145.5,8001000,omsrud,1,1,2008-09-19,DNR Shallow Lakes,1,Stuckenia pectinata,NA
3410,08002600,Hanska,Hanska,,X,Lake or Pond,41,1794.96648042,21.27692949,371066.814035,4888695.61874,Brown,4,Hutchinson,N,FSH,2011-05-23,2010 FSA,Re-delineation by DNR Fisheries staff,,,,Y,"FSW, IBI, RCL, SVY",2022-03-31,2785,,,9678,,,DNRHYDRO,2022-03-25,Y,P,Y,Hanska,34241.9673019,7263971.62929,373229.7707,4887613.6085,Y,8002600,1887,31,Watonwan River,558963,873,2009,DNR Catchment Dataset,07020010,341713.82741,2262050163.02,8002600,hanska,3,3,"2002-07-23, 2003-07-29, 2006-05-23",DNR Shallow Lakes,9,"Najas flexilis, Stuckenia pectinata, Heteranthera dubia, Lemna minor, Typha, Chara, Ceratophyllum demersum, Potamogeton crispus, Sagittaria","NA, NA, NA"
3379,08002900,Bachelor,Bachelor,,X,Lake or Pond,0,97.9053959,2.12536796,368124.71758,4901645.51145,Brown,4,Hutchinson,N,FSH,2007-05-22,2004 FSA,Re-delineation by DNR Fisheries staff,,,,Y,"RCL, SVY",2022-03-31,2892,,,9672,,,DNRHYDRO,2022-03-25,Y,P,Y,Bachelor,3420.45500943,396209.080206,368124.71758,4901645.51145,Y,8002900,1859,29,Cottonwood River,840782,1314,2009,DNR Catchment Dataset,07020008,480142.537696,3402535977.75,8002900,bachelor,1,1,2004-07-09,DNR Shallow Lakes,8,"Potamogeton friesii, Stuckenia pectinata, Ceratophyllum demersum, Bolboschoenus fluviatilis, Lemna minor, Potamogeton zosteriformis, Chara, Schoenoplectus acutus",NA
3392,08003500,Gilman,Gilman,,X,Lake or Pond,0,164.15376764,2.75453965,363037.154778,4897217.06893,Brown,4,Hutchinson,N,FSH,2007-05-22,2004 FSA,Re-delineation by DNR Fisheries staff,,,,Y,SVY,2022-03-31,2898,,,9667,,,DNRHYDRO,2022-03-25,Y,P,Y,Gilman,4433.0107284,664306.728834,363037.154778,4897217.06893,N,8003500,1825,28,Minnesota River - Mankato,861882,1347,2009,DNR Catchment Dataset,07020007,737594.929956,3487927145.5,8003500,gilman,1,1,2013-08-13,DNR Shallow Lakes,3,"Ceratophyllum demersum, Stuckenia pectinata, Typha angustifolia",NA
15597,08005400,Altermatt,Altermatt,,X,Lake or Pond,0,124.66990544,2.32580177,352446.18246,4895626.81579,Brown,4,,N,,,DNR 24k POLYS,,,,,,,2022-03-31,2917,,,157530,,,DNRHYDRO,2022-03-25,Y,P,Y,Altermatt,3743.02260979,504521.207497,352446.18246,4895626.81579,Y,8005400,1986,29,Cottonwood River,840782,1314,2009,DNR Catchment Dataset,07020008,480142.537696,3402535977.75,8005400,altematt,1,1,2013-07-24,DNR Shallow Lakes,0,"",NA
3375,08009600,Boise,Boise,,X,Lake or Pond,0,152.54745736,2.86589181,349643.543917,4902019.08448,Brown,4,Hutchinson,N,FSH,2007-05-22,2004 FSA,Re-delineation by DNR Fisheries staff,,,,Y,SVY,2022-03-31,3065,,,17995,,,DNRHYDRO,2022-03-25,Y,P,Y,Boise,4612.21501657,617337.657524,349643.543917,4902019.08448,Y,8009600,1863,29,Cottonwood River,840782,1314,2009,DNR Catchment Dataset,07020008,480142.537696,3402535977.75,8009600,boise,1,1,2013-07-24,DNR Shallow Lakes,1,Stuckenia pectinata,NA
3608,09001000,Hay,Hay,,X,Lake or Pond,37,140.05326598,4.44796427,541043.917629,5160833.77111,Carlton,2,Duluth,N,FSH,2011-05-23,2010 FSA,Re-delineation by DNR Fisheries staff,,,,Y,"FSW, SVY",2022-03-31,3192,,,18213,,,DNRHYDRO,2022-03-25,Y,P,Y,Hay,7158.31892469,566775.458898,541043.917629,5160833.77111,Y,9001000,16096,5,Nemadji River,176842,276,2009,DNR Catchment Dataset,04010301,167166.414703,715657442.199,9001000,hay,1,1,2008-08-05,DNR Shallow Lakes,22,"Dulichium arundinaceum, Eleocharis smallii, Persicaria, Zizania palustris, Sagittaria latifolia, Sparganium fluctuans, ProtectedSpecies_3, Andromeda polifolia, Carex, Eupatorium perfoliatum, Schoenoplectus tabernaemontani, Scirpus cyperinus, Eragrostis, Phalaris arundinacea, Sagittaria graminea, Scutellaria, Nuphar variegata, Nymphaea odorata, Utricularia vulgaris, Brasenia schreberi, Sagittaria rigida, Typha angustifolia",NA
10317,09002300,Wild Rice,Wild Rice,,X,Lake or Pond,0,55.28186907,1.27456174,530382.901739,5168993.68934,Carlton,2,,N,FSH,2007-05-22,2004 FSA,Re-delineation by DNR Fisheries staff,,,,,,2022-03-31,3205,,,18098,,,DNRHYDRO,2022-03-25,Y,P,Y,Wild Rice,2051.21238986,223717.786899,530382.901739,5168993.68934,Y,9002300,16385,35,Kettle River,672924,1051,2009,DNR Catchment Dataset,07030003,460973.75322,2723238786.54,9002300,wild rice,1,1,2008-08-15,DNR Shallow Lakes,15,"Brasenia schreberi, Utricularia vulgaris, Zizania palustris, Nuphar variegata, Potamogeton amplifolius, Potamogeton natans, Sparganium fluctuans, Nymphaea odorata, Carex, Dulichium arundinaceum, Potamogeton zosteriformis, Typha latifolia, Najas flexilis, Sparganium eurycarpum, Myriophyllum sibiricum",NA
