TAXON,new_name
Ceratophyllum echinatum,Protected Species 1
Najas marina,Protected Species 2
Ruppia cirrhosa,Protected Species 3
Najas gracillima,Protected Species 4
Stuckenia vaginata,Protected Species 5
Nymphaea leibergii,Protected Species 6
Potamogeton diversifolius,Protected Species 7
Azolla mexicana,Protected Species 8
Eleocharis robbinsii,Protected Species 9
Utricularia geminiscapa,Protected Species 10
Utricularia purpurea,Protected Species 11
Potamogeton bicupulatus,Protected Species 12
